DATE  OF OCCURRENCE, PRIMARY DESCRIPTION,LATITUDE,LONGITUDE, LOCATION DESCRIPTION,BLOCK
10/20/17 1:15,ARSON,41.75564461,-87.64050812,VEHICLE NON-COMMERCIAL,076XX S LOWE AVE
4/18/17 23:59,ARSON,41.90142825,-87.72995545,RESIDENCE-GARAGE,011XX N KEDVALE AVE
2/6/18 0:41,ARSON,41.97964955,-87.68079923,NURSING HOME/RETIREMENT HOME,020XX W BALMORAL AVE
2/7/18 0:20,ARSON,41.78193359,-87.68493429,RESIDENCE PORCH/HALLWAY,061XX S ARTESIAN AVE
2/8/18 11:59,ARSON,41.69493038,-87.65540713,RESIDENCE,013XX W 109TH PL
2/9/18 2:22,ARSON,41.80266659,-87.66480988,VEHICLE NON-COMMERCIAL,050XX S ASHLAND AVE
9/17/17 4:00,ARSON,41.88171118,-87.75345571,APARTMENT,051XX W WASHINGTON BLVD
1/26/18 10:23,ARSON,41.7851872,-87.60852484,"SCHOOL, PUBLIC, BUILDING",060XX S LANGLEY AVE
8/20/17 4:05,ARSON,41.83305635,-87.68146105,STREET,033XX S BELL AVE
8/29/17 7:25,ARSON,41.8048561,-87.67614994,VEHICLE NON-COMMERCIAL,020XX W 49TH ST
6/19/17 16:00,ARSON,41.74435403,-87.65235908,VEHICLE NON-COMMERCIAL,082XX S MAY ST
5/25/17 0:00,ARSON,41.79302035,-87.69866227,STREET,055XX S SACRAMENTO AVE
5/27/17 20:00,ARSON,41.84179568,-87.71960539,VEHICLE NON-COMMERCIAL,027XX S HAMLIN AVE
4/30/17 7:15,ARSON,41.78164086,-87.60841078,APARTMENT,062XX S LANGLEY AVE
4/19/17 23:45,ARSON,41.68254809,-87.66150794,RESIDENCE,116XX S ASHLAND AVE
12/7/17 3:21,ARSON,41.82807117,-87.64359866,RESIDENCE,036XX S UNION AVE
8/23/17 16:00,ARSON,41.8140372,-87.63230412,RESIDENCE,044XX S WELLS ST
4/5/17 15:48,ARSON,41.69254076,-87.62681838,VACANT LOT/LAND,001XX W 111TH ST
5/25/17 21:04,ARSON,41.76581953,-87.66020004,VEHICLE NON-COMMERCIAL,070XX S BISHOP ST
6/2/17 19:45,ARSON,41.80212655,-87.68550829,RESIDENCE,050XX S ARTESIAN AVE
5/10/17 12:50,ARSON,41.93997419,-87.64974141,SMALL RETAIL STORE,008XX W BELMONT AVE
4/22/17 2:18,ARSON,41.91084486,-87.69910191,VEHICLE NON-COMMERCIAL,016XX N FRANCISCO AVE
11/12/17 15:23,ARSON,41.97382594,-87.71748262,STREET,035XX W CARMEN AVE
12/13/17 20:45,ARSON,41.85517267,-87.66010817,VEHICLE NON-COMMERCIAL,013XX W CULLERTON ST
8/25/17 22:30,ARSON,41.70937527,-87.56452794,VEHICLE NON-COMMERCIAL,102XX S YATES AVE
10/10/17 2:30,ARSON,41.695222,-87.64125583,STREET,109XX S EMERALD AVE
5/19/17 0:40,ARSON,41.91915905,-87.71250806,RESIDENCE-GARAGE,034XX W DICKENS AVE
6/21/17 0:00,ARSON,41.86132005,-87.70419501,VEHICLE NON-COMMERCIAL,031XX W 15TH ST
7/24/17 4:25,ARSON,41.75227912,-87.60399169,STREET,078XX S MARYLAND AVE
1/9/18 22:07,ARSON,41.68448589,-87.63125571,RESIDENCE,115XX S HARVARD AVE
5/31/17 7:30,ARSON,41.93742585,-87.78440152,RESIDENCE-GARAGE,063XX W FLETCHER ST
10/29/17 21:50,ARSON,41.75938104,-87.63847407,VEHICLE NON-COMMERCIAL,074XX S PARNELL AVE
10/13/17 18:41,ARSON,41.75444392,-87.63348073,VEHICLE NON-COMMERCIAL,003XX W 77TH ST
9/22/17 18:45,ARSON,41.80212655,-87.68550829,RESIDENCE,050XX S ARTESIAN AVE
3/27/17 10:20,ARSON,41.96288465,-87.71848147,APPLIANCE STORE,036XX W SUNNYSIDE AVE
4/7/17 6:30,ARSON,41.86831485,-87.69766106,VEHICLE NON-COMMERCIAL,028XX W FILLMORE ST
10/4/17 2:50,ARSON,41.77592857,-87.7312322,RESIDENCE-GARAGE,064XX S KOLIN AVE
8/11/17 23:30,ARSON,41.93516268,-87.71543274,VEHICLE NON-COMMERCIAL,029XX N GRESHAM AVE
6/22/17 10:40,ARSON,41.8530347,-87.69912644,APARTMENT,021XX S MARSHALL BLVD
4/5/17 4:55,ARSON,41.89002943,-87.65300663,OTHER,010XX W HUBBARD ST
9/4/17 2:30,ARSON,41.92079797,-87.69018473,RESIDENCE-GARAGE,025XX W SHAKESPEARE AVE
8/7/17 16:15,ARSON,41.80594727,-87.66976039,RESIDENCE-GARAGE,048XX S WOOD ST
7/17/17 17:57,ARSON,41.77809913,-87.63382853,HOSPITAL BUILDING/GROUNDS,003XX W 64TH ST
9/11/17 2:25,ARSON,41.78618557,-87.70739416,BARBERSHOP,033XX W 59TH ST
4/10/17 9:00,ARSON,41.7912572,-87.73735571,STREET,045XX W 56TH ST
10/10/17 23:55,ARSON,41.78902377,-87.70098983,RESIDENCE-GARAGE,057XX S ALBANY AVE
6/27/17 16:32,ARSON,42.01603043,-87.66903815,APARTMENT,015XX W JARVIS AVE
6/12/17 14:15,ARSON,41.91888979,-87.78407907,RESIDENCE-GARAGE,021XX N MULLIGAN AVE
6/7/17 2:00,ARSON,41.91581734,-87.73751727,RESIDENCE-GARAGE,019XX N KENNETH AVE
6/25/17 21:52,ARSON,41.79616893,-87.70934338,RESIDENCE-GARAGE,034XX W 53RD PL
8/23/17 6:50,ARSON,41.8057502,-87.67461864,RESIDENCE,048XX S DAMEN AVE
9/23/17 22:30,ARSON,41.99401997,-87.74833568,VEHICLE NON-COMMERCIAL,062XX N CICERO AVE
12/7/17 2:30,ARSON,41.70253596,-87.62911123,VEHICLE NON-COMMERCIAL,002XX W 105TH PL
